Country Name,"Series Name","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
United States,"Gini index (World Bank estimate)","40.6","40.4","40.8","40.3","41","41.4","40.8","40.8","40.6","40","40.9","40.9","40.7","41.5","41.2","41.1","41.2","41.4","..",".."
United States,"Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","0.7","0.7","1","1","1","1","1","1","1","1","1","1","1","1.2","1.2","1","1.2","1","..",".."
United States,"GDP, PPP (current international $)","10581821399000","10936419054000","11458243878000","12213729147000","13036640230000","13814611414000","14451858656000","14712844084000","14448933025000","14992052727000","15542581104000","16197007349000","16784849196000","17527163695000","18238300569000","18745075687000","19542979183000","20611860933999.9","21433224696999.9","20953030000000"
United States,"GDP (current US$)","10581821399000","10936419054000","11458243878000","12213729147000","13036640230000","13814611414000","14451858656000","14712844084000","14448933025000","14992052727000","15542581104000","16197007349000","16784849196000","17527163695000","18238300569000","18745075687000","19542979183000","20611860934000","21433224697000","20953030000000"
United States,"GDP per capita (current US$)","37133.2428088526","38023.1611144021","39496.4858751381","41712.8010675545","44114.7477810544","46298.7314440927","47975.9676958038","48382.5584490552","47099.9804711343","48466.6576026922","49882.5581321495","51602.9310457907","53106.5367672165","55049.9883272312","56863.3714957652","58021.4004997125","60109.6557260477","63064.4184096731","65279.5290260953","63593.4436209541"
United States,"GDP per capita, PPP (current international $)","37133.2428088526","38023.1611144021","39496.4858751381","41712.8010675545","44114.7477810544","46298.7314440927","47975.9676958038","48382.5584490552","47099.9804711343","48466.6576026922","49882.5581321495","51602.9310457907","53106.5367672165","55049.9883272312","56863.3714957652","58021.4004997125","60109.6557260477","63064.4184096728","65279.529026095","63593.4436209541"
United States,"Life expectancy at birth, total (years)","76.8365853658537","76.9365853658537","77.0365853658537","77.4878048780488","77.4878048780488","77.6878048780488","77.9878048780488","78.0390243902439","78.390243902439","78.5414634146342","78.6414634146341","78.7414634146342","78.7414634146342","78.8414634146341","78.690243902439","78.5390243902439","78.5390243902439","78.6390243902439","78.7878048780488",".."
United States,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","..","..","..","..","..","..","..","..","..","..","..","..","1.67716002464294","1.76947999000549","1.70131003856659","1.85371994972229","..","2.03264999389648","..","2.08855009078979"
United States,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","..","..","..","..","..","..","..","..","..","..","..","..","11.5664396286011","11.76535987854","11.9948501586914","12.6140098571777","..","13.0503797531128","..","14.1386003494263"
United States,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","..","..","..","85.1531524658203","85.191780090332","85.7232284545898","..","86.614128112793","86.7090835571289","87.1494064331055","87.5908889770508","87.6791000366211","88.1503067016602","88.3135833740234","88.4119720458984","89.0923614501953","..","89.8053588867188","..","90.9405212402344"
United States,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","..","..","..","98.4705505371094","98.4229583740234","98.5437698364258","..","98.6767272949219","98.5941772460938","98.6884307861328","98.7173004150391","98.7904815673828","98.8670196533203","98.7934112548828","98.7738800048828","98.8771133422852","..","99.0315322875977","..","99.055778503418"
United States,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","45.167911529541","..",".."
United States,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","..","..","..","93.714241027832","93.6958770751953","94.1891632080078","..","94.4855499267578","94.5352172851563","94.7695007324219","94.9027328491211","94.984489440918","95.2045288085938","95.2634735107422","95.3349685668945","95.5852432250977","..","96.0293731689453","..","96.4607696533203"
United States,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","..","..","..","..","..","..","..","..","..","..","..","..","31.6606597900391","31.9557991027832","32.5007591247559","33.4396896362305","..","34.9924697875977","..","37.5242881774902"
United States,"Surface area (sq. km)","9632030","9632030","9632030","9632030","9632030","9632030","9632030","9831510","9831510","9831510","9831510","9831510","9831510","9831510","9831510","9831510","9831510","9831510","..",".."
United States,"Population, total","284968955","287625193","290107933","292805298","295516599","298379912","301231207","304093966","306771529","309327143","311583481","313877662","316059947","318386329","320738994","323071755","325122128","326838199","328329953","329484123"
United States,"Gross fixed capital formation (current US$)","2385009000000","2354119000000","2477183000000","2703389000000","2990493000000","3182858000000","3231084000000","3136450000000","2723344000000","2756059000000","2922919000000","3171573000000","3321886000000","3562780000000","3722979000000","3808723000000","4020265000000","4281680000000","4492626000000","4478942000000"
United States,"Government expenditure on education, total (% of GDP)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
United States,"Expenditure on tertiary education (% of government expenditure on education)","..","..","..","..","..","..","..","..","..","..","..","..","27.22716","27.50228","..","..","..","..","..",".."
United States,"Expenditure on secondary education (% of government expenditure on education)","..","..","..","..","..","..","..","..","..","..","..","..","35.16779","34.55486","..","..","..","..","..",".."
United States,"Expenditure on primary education (% of government expenditure on education)","..","..","..","..","..","..","..","..","..","..","..","..","31.10906","30.96455","..","..","..","..","..",".."
United States,"Research and development expenditure (% of GDP)","2.6483","2.55926","2.56455","2.50243","2.51697","2.55764","2.63161","2.76791","2.8127","2.7354","2.76525","2.68166","2.70972","2.71924","2.71742","2.76145","2.81741","2.83283","..",".."
United States,"Scientific and technical journal articles","305612.91","319307.62","329398.86","353853.49","384572.94","385515","391909.59","393978.95","399350.31","408817.1","423958.81","427996.8","429570.05","433192.28","429988.89","427264.63","432216.49","422807.71","..",".."
United States,"Patent applications, residents","177513","184245","188941","189536","207867","221784","241347","231588","224912","241977","247750","268782","287831","285096","288335","295327","293904","285095","285113",".."
China,"Gini index (World Bank estimate)","..","42","..","..","40.9","..","..","43","..","43.7","42.4","42.2","39.7","39.2","38.6","38.5","..","..","..",".."
China,"Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","..","31.7","..","..","18.5","..","..","14.9","..","11.2","7.9","6.5","1.9","1.4","0.7","0.5","..","..","..",".."
